EnglishEasy;Global warming kg CO2;Terrestrial acidification kg SO2;Freshwater eutrophication kg P ;Marine eutrophication kg N ;Land use m2a crop;Water consumption m3;NEVO code;Food group;Food name;Energy (kJ);Energy (kcal);Protein (g);Fat (g);Fatty acids (g);Carbohydrates (g);Sugars (g);Fiber (g);Alcohol (g); Chloride (mg);Sodium (mg);Potassium (mg);Calcium (mg);Phosphorus (mg);Magnesium (mg);Iron (mg);Copper (mg);Selenium (�g);Zinc(mg);Iodine (�g);Vitamin D (�g);Vitamin E (mg);Vitamin K (�g);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin B6 (mg);Vitamin B12 (�g);Vitamin B3 (mg);Vitamin B3 (mg);Vitamin C (mg)
149;0,397360977;0,003008536;0,000150237;0,00065022;0,497539759;0,443763186;1896;Nuts and seeds;Pistachio nuts salted;2452;592;23,8;48,3;46,1;10,8;5,7;9,5;0;0;660;871;131;598;136;4,3;1;20;2,9;2,5;0;4,8;;0,64;0,15;1,168;0;7,5;2;0
150;0,330569594;0,003431022;2,57E-05;0,00081267;0,388429957;0,409068197;206;Nuts and seeds;Walnuts unsalted;2914;706;15,9;68,1;64,7;5,1;2,9;4,6;0;0;0;532;117;521;196;3,4;1,1;12;3,4;2,5;0;3,1;;0,37;0,11;0,417;0;4,6;1,4;0
152;0,197014646;0,00120961;3,30E-05;0,000216063;0,21446767;0,007407788;660;Legumes;Beans brown canned;506;120;6,5;0,7;0,5;18;0,9;7,9;0;0;119;285;50;100;34;1,6;0,25;1;0,54;0,6;0;0,1;6;0,06;0,04;0,022;0;1,8;0,4;0
153;0,372762165;0,000458342;2,58E-05;0,000281357;0,489981474;0,004070252;1095;Legumes;Peas chick boiled;580;138;7,6;3;2,3;15,9;0,3;8,8;0;0;3;215;59;124;42;1,8;0,23;5;1,29;0,2;0;1,7;2,9;0,09;0,03;0,023;0;1,4;0,2;0
154;0,323939941;0,003042815;0,000134098;0,000649184;0,543412242;0,00315871;1962;Sugar, sweets and sweet sauces;Chocolate sprinkles milk;1913;455;6,3;15,6;15;70,3;64,7;3,7;0;11;51;359;116;162;66;4,5;0,56;5;1,1;17;0;0,8;;0,07;0,24;0,031;0,52;1,6;0,5;0
155;0,216103243;0,001330399;0,000171037;0,000443217;0,647645519;0,002161997;1963;Sugar, sweets and sweet sauces;Chocolate sprinkles dark;1873;446;5,8;15,3;14,7;67,4;60,5;6,6;0;1;27;845;36;184;119;8,1;0,98;4;1,27;2,5;0;0,8;;0,02;0,05;0,018;0,21;1,6;0,7;0
156;0,605768083;0,006195757;0,000160263;0,001061889;0,708565073;0,005638021;431;Sugar, sweets and sweet sauces;Chocolate milk;2286;548;7;34,1;32,7;52;49;2,8;0;18;70;404;162;205;50;3,2;0,23;5;1,1;20;0;1,2;2,3;0,09;0,35;0,041;0,58;1,8;0,5;1
157;0,438167207;0,002350081;5,60E-05;0,000564085;0,370606888;0,012707761;2657;Sugar, sweets and sweet sauces;Spread duo with chocolate;2402;576;1,8;36,5;35;59,5;57,4;1,3;0;0;39;302;97;120;42;1,7;0,42;3;1,3;2,5;0;0,2;;0,03;0,23;0,03;0,58;;0,1;0
158;0,447370883;0,002709994;6,64E-05;0,000656733;0,464235656;0,024384688;436;Sugar, sweets and sweet sauces;Spread chocolate hazelnut;2344;562;5,7;35,3;33,9;53,9;50,2;2,9;0;3;53;465;116;193;74;4,5;0,42;3;1,3;2,5;0;9,8;;0,04;0,15;0,045;0;1,5;0,4;1
159;0,119343348;0,000674562;7,74E-06;5,39E-05;0,020039384;0,000951823;443;Sugar, sweets and sweet sauces;Honey;1364;321;0,3;0;0;80;80;0;0;0;10;55;7;4;2;0,8;0,02;0;0,62;0,5;0;0;;0;0,03;0,032;0;;0,1;4
161;0,110201669;0,000333555;8,33E-06;8,63E-05;0,032993511;0,003074519;1474;Sugar, sweets and sweet sauces;Ice lolly;318;75;0,2;0,2;0,2;18;17;0,2;0;0;2;22;5;2;2;0;0,01;0;0,02;0,3;0;0;0;0,01;0;0,012;0;;0;2
162;0,189408727;0,001141563;2,68E-05;0,000243708;0,119513784;0,012686431;445;Sugar, sweets and sweet sauces;Jam;1055;248;0,3;0,1;0,1;60,8;51,2;1,2;0;0;10;69;8;9;4;0,4;0,03;0;0,04;0,3;0;0,5;;0,01;0,01;0,013;0;;0,2;3
163;0,083537358;0,00082272;2,76E-05;0,000290939;0,074835975;0,001390016;377;Sugar, sweets and sweet sauces;Sugar granulated;1700;400;0;0;0;100;100;0;0;0;0;4;0;0;2;0,1;0,02;0;0,01;0;0;0;;0;0;0;0;;0;0
164;0,147429614;0,000425041;1,18E-05;7,67E-05;0,03039245;0,010943987;427;Sugar, sweets and sweet sauces;Syrup apple;1188;280;1,8;0;0;65,9;58;4,6;0;0;48;599;24;86;82;13,2;0,14;0;0,81;0;0;0;0,6;0,03;0,1;0,088;0;;0,5;1
165;1,223765039;0,017570841;3,56E-05;0,002461203;0,50498608;0,009813061;879;Fats and oils;Butter salted;3033;737;0,7;81,2;76,3;1,1;1,1;0;0;221;400;27;17;23;2;0,1;0,01;1;0,09;1,5;0,3;2,8;29,9;0,01;0,03;0;0,3;;0;0
166;1,223685342;0,017570419;3,56E-05;0,002461202;0,50498608;0,009811833;310;Fats and oils;Butter unsalted;3033;737;0,7;81,2;76,3;1,1;1,1;0;0;221;5;27;17;23;2;0,1;0,01;1;0,09;1,5;0,3;2,8;29,9;0,01;0,03;0;0,3;;0;0
167;0,501045999;0,002284626;5,10E-05;0,001066164;1,217440852;0,010591052;2525;Fats and oils;Frying fat horeca;3700;900;0;100;96;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;;;0;0;0;0;;0;0
168;0,251617176;0,000893533;2,07E-05;0,000411149;0,479070898;0,005409565;2059;Fats and oils;Low fat margarine 40% fat <17 g sat fa salted;1463;356;0,1;39,2;37,7;0,5;0,1;0,1;0;1;191;42;10;23;2;0,1;0;0;0;1,5;7,3;9,8;;0;0;0;0;;0;0
169;0,71718792;0,005656688;0,000210289;0,002038821;2,915111468;0,380119454;601;Fats and oils;Oil olive;3700;900;0;100;96;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;;0;5,1;53,7;0;0;0;0;;0;0
170;0,50106495;0,002417874;5,01E-05;0,001242282;1,50859998;0,018434876;317;Fats and oils;Oil sunflower seed;3687;897;0,3;99,5;95,5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;48,7;5,7;0;0;0;0;;0;0
171;0,694688432;0,001870992;3,04E-06;2,22E-05;0,009495957;0,003694649;1315;Fish, crustacean and shellfish;Cod fillet fried/simmered;498;118;21,5;3,3;2,7;0,6;0;0;0;35;108;285;13;200;27;0,2;0,03;37;0,5;243;;1,2;;;;;2;;;
172;0,623508151;0,001802207;1,04E-05;0,000214051;0,124746296;0,003894949;814;Fish, crustacean and shellfish;Fish fingers fried in sunflower oil;999;239;16,4;13;12,5;13,9;1;0,4;0;38;380;248;16;120;32;0,9;0,06;13;0,58;120;1,4;3,5;;0,11;0,07;0,15;2;;4,9;0
173;0,198541967;0,000603538;1,31E-05;0,00010612;0,015949138;0,00262871;349;Fish, crustacean and shellfish;Herring fillet in tomato sauce tinned;838;201;12;14,6;13,4;5,4;4,5;0,5;0;90;454;295;64;128;23;1,4;0,12;24;0,53;18;6,2;3,6;;0,05;0,08;0,15;10,4;;2,6;4
174;0,358297579;0,001135599;2,10E-05;0,000135731;0,006537032;0,002357081;1100;Fish, crustacean and shellfish;Herring pickled (sweet)sour;862;208;16;16;14,7;0;0;0;0;90;818;58;38;149;5;1,4;0,12;46;0,3;32;6,2;0,6;;0,05;0,21;0,15;6,1;;7,3;0
175;0,280600876;0,000658574;1,36E-05;0,000135281;0,001368006;0,001801776;350;Fish, crustacean and shellfish;Herring salted;719;172;17,6;10,1;9,3;2,8;0;0;0;55;1097;293;51;297;40;1,4;0,09;46;0,73;28,9;6,2;0,4;;0;0,18;0,343;9,26;10,9;7,3;0
176;0,726218533;0,001993274;3,06E-06;2,17E-05;0,009497326;0,003812836;3321;Fish, crustacean and shellfish;Lemon sole raw;310;73;16,7;0,7;0,6;0;0;0;0;47;115;177;17;124;26;0,1;0;50;0,3;23;;0,7;;0,15;0,08;0,15;1;;4,3;0
177;0,216703768;0,000458042;1,20E-05;0,000117373;0,001366736;0,001515964;1586;Fish, crustacean and shellfish;Mackerel fillet smoked;1250;301;21,1;24,1;22,4;0;0;0;0;63;746;319;33;237;38;1,2;0,07;59;0,9;50;8,2;0,5;;0,15;0,37;0,28;10,2;;6,9;0
178;1,336458783;0,002545585;9,52E-05;0,000552767;0,697953995;0,010721626;2765;Fish, crustacean and shellfish;Pangasius bereid in magnetron z toev;375;89;18,6;1,6;1,3;0;0;0;0;58;241;261;10;192;22;0,1;0,01;12;0,41;6;0,1;0,3;;0;0,05;0,101;0,42;5,5;2;1
179;0,726218533;0,001993274;3,06E-06;2,17E-05;0,009497326;0,003812836;817;Fish, crustacean and shellfish;Plaice fried;810;194;22;10,9;10,4;2;0;0;0;85;110;372;101;125;30;0,9;0,03;48;1;31;1,1;2,6;;0,22;0,11;0,078;2;;4,9;2
180;0,883647947;0,002475301;3,15E-06;2,46E-05;0,0095017;0,004401948;919;Fish, crustacean and shellfish;Pollock (Atlantic) boiled;481;114;25;1,5;1,2;0;0;0;0;66;95;420;10;237;44;0,4;0,06;46;0,6;154;1,4;0,8;;0,29;0,24;0,37;4,8;;3,2;0
182;0,374312164;0,001118849;1,43E-05;0,000133025;0,002114383;0,001614978;602;Fish, crustacean and shellfish;Salmon tinned;613;146;20,4;7,2;6,6;0;0;0;0;90;397;316;91;170;25;0,9;0,05;25;0,8;59;10,9;2,1;;0,02;0,22;0,21;4;;5,9;0
183;0,688129211;0,001608005;4,69E-05;0,000403715;0,222317814;0,00455311;1587;Fish, crustacean and shellfish;Salmon farmed raw;748;179;20;11;10,1;0;0;0;0;80;46;451;7;227;26;0,3;0,04;30;0,48;23,8;7,9;1,4;;0,12;0,11;0,51;3,5;;7,3;0
185;0,661523588;0,001573909;4,64E-05;0,000397121;0,214201069;0,004118756;1096;Fish, crustacean and shellfish;Salmon smoked;785;188;21,8;10,8;10;0,8;0;0;0;52;1319;489;9;318;32;0,2;0,02;16;0,42;13;4;2,5;;0,27;0,17;0,563;5,02;15,1;10,6;0
187;1,541070076;0,004058172;0,000669673;0,000793032;0,215206209;0,007681978;348;Fish, crustacean and shellfish;Shrimps Dutch boiled;397;94;19,8;1,6;1,3;0,1;0,1;0;0;202;953;142;134;139;35;0,2;0,71;31;1,8;55;0,1;5,1;;0,03;0,34;0,042;16,78;5,4;1,3;0
188;2,285592949;0,009739522;9,38E-05;0,000567896;0,672898035;0,010383085;2299;Fish, crustacean and shellfish;Tilapia raw;364;86;17,9;1,6;1,4;0;0;0;0;47;52;353;18;181;28;0,2;0,02;28;0,34;4;24,3;0,7;1,7;0,05;0,05;0,18;1,1;;4;0
189;1,26987486;0,003116175;3,10E-05;0,00036193;0,375696062;0,00474782;1611;Fish, crustacean and shellfish;Trout prepared in microwave oven no ingredients added;587;140;24,5;4,6;4,1;0;0;0;0;68;74;497;35;325;32;0,4;0,04;16;0,57;8;9,4;1,7;;0,13;0,1;0,305;5,72;11,8;6,9;1
190;1,454962009;0,00483714;1,57E-05;0,000143673;0,002152245;0,005661748;1589;Fish, crustacean and shellfish;Tuna in oil tinned;862;206;27;10,8;9,6;0,1;0,1;0,1;0;56;393;291;12;200;33;1,6;0,2;90;1,1;14;2,1;3,5;;0,02;0,12;0,51;5;;16,1;0
191;0,819011051;0,003490142;4,47E-05;0,00102647;1,097655537;0,015322885;818;Fish, crustacean and shellfish;White fish fillet in batter deep-fried in vegetable oil;879;210;19;11,2;10,8;8,2;0,3;0,2;0;75;400;348;101;125;30;0,7;0,03;48;0,6;99;1,4;2,6;;0,04;0,11;0,078;0,9;;4,9;0
192;3,133860434;0,054460765;0,00011431;0,009016455;1,54518413;0,025044489;1539;Meat and poultry;Beef frying steak prepared;590;140;27,5;3,3;3,1;0;0;0,2;0;47;67;514;7;262;30;2,7;0,09;15;5,96;2,2;0,5;0,9;;0,05;0,22;0,36;2,36;;5,6;0
193;3,052565338;0,05358105;0,000112933;0,008892737;1,543564024;0,024364145;1545;Meat and poultry;Beef roast prepared;656;156;27,2;5,1;4,8;0,2;0,2;0;0;55;105;382;5;200;26;2;0,07;9;5,6;9;0,5;0,6;;0,04;0,2;0,423;2,59;;4,4;0
194;3,133860434;0,054460765;0,00011431;0,009016455;1,54518413;0,025044489;1536;Meat and poultry;Beef rump steak prepared;616;146;29,3;3,2;3;0;0;0;0;41;53;561;10;273;32;2,8;0,09;14;5,53;2,5;0,5;1;;0,05;0,19;0,453;1,7;12;5,3;0
195;1,087318182;0,009303673;9,02E-05;0,000832612;0,745896936;0,014714682;1634;Meat and poultry;Chicken fillet raw;463;109;23,3;1,8;1,5;0;0;0;0;70;53;351;6;219;30;0,6;0,15;13;0,65;0;0,3;0,5;9;0,08;0,03;0,666;0,2;;11,4;0
196;1,355028909;0,011643868;0,000112677;0,001038648;0,92975738;0,0183075;1633;Meat and poultry;Chicken with skin prepared;942;226;25,3;13,8;11,9;0;0;0;0;110;74;304;13;216;25;1,2;;;2,18;7;;;;0,06;0,22;0,271;0,29;;;0
197;3,067624685;0,052933847;0,000112569;0,008765149;1,504743955;0,024830609;1435;Meat and poultry;Hamburger raw;995;239;16,8;18;17,1;2,2;0,9;0,6;0;46;758;175;14;149;19;1,8;0,07;7;3,37;2,5;0,5;0,7;;0,09;0,12;0,212;1,52;5,7;2,7;17
198;;;;;;;1675;Meat and poultry;Lamb >10 g fat raw ;918;221;19,3;16;14,4;0;0;0;0;77;66;303;16;185;21;1,8;0,08;2;3,47;6,4;0,3;0,2;;0,06;0,19;0,158;2;;4,8;0
199;3,002570354;0,053736541;0,000113621;0,008910684;1,526474892;0,023722146;1405;Meat and poultry;Minced beef raw;937;225;18,9;16,5;15,6;0,2;0,2;0,3;0;53;110;313;8;167;20;2;0,06;8;4,33;2,5;0,7;0,5;;0,03;0,13;0,272;1,9;6,9;3,5;8
200;2,037290962;0,032448413;0,000106133;0,005160017;1,197422452;0,017059395;1326;Meat and poultry;Minced beef/pork shallow fried;1322;317;30,1;21,6;20,5;0,4;0,4;0,6;0;48;312;697;29;298;31;2,1;0,15;15;5,24;3,2;1,3;3,2;;0,41;0,22;0,283;1,86;12,1;6,8;6
201;1,24190297;0,012915868;0,000113313;0,001629375;1,004841476;0,012109709;1667;Meat and poultry;Pork <5% fat raw ;531;126;21,8;3;2,7;2,8;0,7;0,3;0;30;186;417;7;234;29;0,7;0,07;12;1,87;1,3;0,3;0,5;2,4;0,77;0,18;0,522;0,39;11,3;6,9;0
202;1,24190297;0,012915868;0,000113313;0,001629375;1,004841476;0,012109709;1668;Meat and poultry;Pork 5-14% fat raw ;689;165;20;9,1;8,5;0,5;0,2;0,3;0;47;177;387;16;210;25;0,9;0,07;12;2,7;2,1;0,4;0,7;1;0,61;0,18;0,442;0,62;8,9;4,9;2
203;1,441391199;0,015027748;0,000131728;0,001893243;1,166718318;0,014025153;1559;Meat and poultry;Pork shoulder chop prepared;1287;308;37,1;17,7;16,6;0;0;0;0;96;95;650;13;340;37;1,9;0,15;23;6,37;1,6;1;2,6;;0,53;0,32;0,289;0,9;15,3;7,5;0
205;1,4373107;0,021466883;7,05E-05;0,003354345;0,779427193;0,012168037;566;Meat and poultry;Sausage frankfurter tinned;837;201;12;15,4;14,6;3,8;0,3;0,1;0;48;780;102;22;150;10;1,1;0,06;7;1,4;18;0,7;0,2;;0,5;0,08;0,091;0,44;;4;0
206;1,568096653;0,020559577;9,45E-05;0,003095453;0,956464797;0,01416331;1551;Meat and poultry;Sausage pork Braadworst prepared;1025;246;22,4;17,1;16;0,6;0,5;0;0;63;732;400;18;213;24;1,2;0,09;13;3,05;2;1,1;1,5;;0,46;0,19;0,34;0,88;;4,6;14
207;2,186926169;0,036879222;7,85E-05;0,006108062;1,062697732;0,017962356;2301;Meat and poultry;Sausage smoked beef cooked;995;240;13;20;19;2;0,2;0;0;53;933;411;19;218;27;2,8;0,1;10;5,81;6,3;0,3;2,5;;0,07;0,16;0,185;2,32;;4,3;7
208;3,100291863;0,038868148;0,000122874;0,00419528;1,625440286;0,035489312;1673;Meat and poultry;Veal <5% fat raw ;442;105;22;1,8;1,3;0;0;0;0;43;59;421;4;228;26;1;0,06;8;3,45;3,1;0,4;0,3;;0,12;0,17;0,431;2,15;10,3;5,9;1
209;0,444128393;0,001621123;1,39E-05;0,000128787;0,335922024;0,009555229;2030;Meat substitutes and dairy substitutes;Minced meat vegetarian based on mycoprotein unprepared;396;95;14,1;2,5;2,4;0,7;0;6,5;0;0;34;79;187;250;43;0,3;0,3;4;6,23;0;0;0;0;0;0,45;0,059;0;4,2;0,7;0
210;0,512865251;0,003940684;3,66E-05;0,000649572;0,540061038;0,010839086;2541;Meat substitutes and dairy substitutes;Sausage luncheon meat vegetarian fortified with iron and vit B12;749;181;6,6;14,7;14,1;4,6;1;1,8;0;0;680;400;48;85;12;4,3;0,08;3;0,45;;0;6,4;1;0,01;0,07;0,005;1,28;2,1;0,2;7
211;0,07600976;0,000171757;3,77E-06;2,02E-05;0,034816329;0,001138842;870;Meat substitutes and dairy substitutes;Drink soya without sugar;147;35;3,4;1,8;1,7;1;0,9;0,6;0;0;11;150;17;44;18;0,5;0,13;1;0,35;1;0;0,4;4,8;0,02;0,02;0,052;0;0,9;0,2;0
212;1,09835298;0,010877655;9,47E-05;0,001367495;0,842293748;0,010680384;639;Cold meat cuts;Bacon rasher streaky;1291;312;15,7;27,5;26,1;0,5;0,5;0;0;36;1347;425;8;110;13;0,6;0,06;9;1,7;7;0,7;0,1;0;0,38;0,19;0,2;0,74;;1,6;0
213;2,725272076;0,047891227;0,000100292;0,007930528;1,352693678;0,021631552;340;Cold meat cuts;Beef smoke-dried;457;108;22;2;1,9;0,5;0,5;0;0;23;1800;268;5;190;21;2,5;0,08;7;3,3;9;0,1;0,6;;0,04;0,17;0,41;1,3;;4;0
214;0,968070308;0,008033546;7,66E-05;0,000710528;0,631554313;0,013009876;2654;Cold meat cuts;Chicken (processed meat product);526;125;17,5;4,4;3,7;3,4;1;0;0;;932;255;7;256;24;0,7;0,03;18;1,77;8;0,2;1,1;;0,07;0,1;0,421;0,29;;10,3;0
215;1,768254889;0,028978941;7,05E-05;0,00492721;1,084289107;0,017251499;810;Cold meat cuts;Beef steak tartare spiced filet americain;997;240;14,2;18,8;17,7;3;1,3;0,9;0;50;713;359;14;158;15;2;0,05;9;4,8;2,5;0,9;6,5;;0,03;0,11;0,143;1,51;7,2;4,5;12
216;1,081725469;0,010855166;9,44E-05;0,001361317;0,834813684;0,010402406;784;Cold meat cuts;Ham lean boiled;564;134;18;5,7;5,3;2,5;0,4;0,1;0;48;859;478;8;298;22;0,7;0,04;13;1,7;2,5;0,1;0,2;;0,66;0,14;0,109;0,42;11,3;7,5;25
217;1,08235441;0,010859816;9,45E-05;0,001362751;0,83546433;0,010440405;785;Cold meat cuts;Ham shoulder medium fat boiled;556;133;16,4;6,2;5,7;2,4;0,6;0,4;0;44;826;530;9;330;19;0,8;0,05;11;2,2;2,5;0,1;0,5;;0,52;0,17;0,09;0,44;8,9;5,6;27
218;0,573236455;0,004984493;4,37E-05;0,000610933;0,37483864;0,005813424;1239;Cold meat cuts;Liver pate sausage;1320;319;12,3;28,6;25,5;3;0,2;0,3;0;100;680;125;8;161;10;5,6;0,45;19;2,3;2,5;0,9;1,1;;0,08;0,75;0,164;5,76;7,2;5,2;32
219;0,822750967;0,009813348;6,69E-05;0,001369557;0,610806299;0,007714124;1155;Cold meat cuts;Meatloaf (processed meat product);1260;304;12,8;25,6;24,3;5,6;2;0,3;0;48;951;349;29;298;13;2,1;0,15;15;5,24;3,2;1,3;0,2;;0,41;0,22;0,283;0,71;;6,8;16
220;1,518234393;0,02228698;8,05E-05;0,003496123;0,872463432;0,013242665;1162;Cold meat cuts;Sausage cooked;1477;357;11,3;33;31,4;3,7;1,1;0;0;50;894;165;18;286;11;1,3;0,06;8;1,34;2,2;0,7;0,3;;0,18;0,12;0,035;0,75;;3,5;0
221;0,653439634;0,006083989;5,39E-05;0,000758386;0,462701023;0,006605628;567;Cold meat cuts;Sausage luncheon meat;1269;306;11,6;26,9;25,6;3,5;0,7;0,2;0;62;866;258;18;286;13;1,3;0,06;8;1,7;2,3;0,7;0,3;11,6;0,18;0,12;0,035;0,66;5,4;3,5;38
222;2,409755856;0,042035206;8,81E-05;0,006955333;1,185976337;0,019154992;2768;Cold meat cuts;Sausage raw beef;693;166;18,6;9,4;8,9;1,1;0,4;1,2;0;62;1235;312;9;187;19;2,2;0,05;;4,8;2,5;0,3;1;;0,03;0,13;0,107;2,08;10,7;7,5;45
223;1,473579231;0,021082524;7,98E-05;0,003267229;0,854940609;0,01301027;638;Cold meat cuts;Salami sausage saveloy;1550;375;17,8;33;31,3;1,3;0,6;0,7;0;66;1361;249;29;169;16;1,5;0,06;11;2,34;2,5;0,9;0,5;11,3;0,27;0,12;0,165;0,92;7,9;5,5;9
224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
